Stock Name,Symbol,Recommendation,CMP,Stop Loss,Target,Duration,Sentiment,Date,Stock Movement
NIFTY,NIFTY2491925300CE,Buy,171.0,130.0,250.0,INTRADAY,0.0,2024-09-16 04:08:41+00:00,Upward
FINNIFTY,FINNIFTY2491723800CE,Buy,185.0,165.0,230.0,INTRADAY,0.0,2024-09-13 06:35:28+00:00,Upward
NIFTY,NIFTY2491925300CE,Buy,168.0,133.0,230.0,INTRADAY,0.0,2024-09-13 05:36:52+00:00,Upward
Kaynes Technology India Ltd,KAYNES,Buy,5210.0,4168.0,,1 Year,-0.2851851851851852,2024-09-13 04:00:06+00:00,Downward
Siemens Ltd,SIEMENS24SEP6700CE,Buy,125.0,102.0,168.0,1-2 Days,0.0,2024-09-12 09:13:42+00:00,Upward
Sun Pharmaceuticals Industries Ltd,SUNPHARMA24SEP1840CE,Buy,24.0,18.0,34.0,1-2 Days,0.0,2024-09-12 04:19:27+00:00,Upward
MIDCAPNIFTY,MIDCPNIFTY2491613150CE,Buy,119.0,105.0,145.0,INTRADAY,0.0,2024-09-11 04:14:24+00:00,Upward
Prism Johnson Limited,PRSMJOHNSN,Buy,213.0,170.0,,1 Year,-0.23174603174603176,2024-09-11 03:59:25+00:00,Downward
Honasa Consumer Ltd,HONASA,Buy,540.0,515.0,590.0,5-10 Days,0.0,2024-09-10 07:14:23+00:00,Upward
Aether Industries Ltd,AETHER,Buy,1013.0,965.0,1100.0,5-10 Days,0.0,2024-09-10 06:20:31+00:00,Upward
Aurobindo Pharma Ltd,AUROPHARMA24SEP1520CE,Buy,38.0,31.0,52.0,1-2 Days,0.0,2024-09-09 07:58:19+00:00,Upward
NIFTY,NIFTY2491225000PE,Buy,202.0,160.0,320.0,INTRADAY,0.0,2024-09-09 06:55:43+00:00,Upward
Ashoka Buildcon Ltd,ASHOKA,Buy,267.0,214.0,,3 Months,0.5,2024-09-06 03:35:30+00:00,Upward
BANKNIFTY,BANKNIFTY11SEP2451300CE,Buy,448.0,390.0,580.0,INTRADAY,0.0,2024-09-05 07:31:01+00:00,Upward
State Bank of India,SBIN24SEP820CE,Buy,17.0,13.0,22.0,1-2 Days,0.0,2024-09-04 08:43:10+00:00,Upward
FINNIFTY,FINNIFTY2491023700CE,Buy,235.0,210.0,320.0,INTRADAY,0.0,2024-09-04 05:35:57+00:00,Upward
SML ISUZU Ltd,SMLISUZU,Buy,2030.0,1910.0,2200.0,5-10 Days,0.0,2024-09-04 04:44:34+00:00,Upward
Fertilizers & Chemicals Travancore Ltd,FACT,Buy,984.0,940.0,1080.0,5-10 Days,0.0,2024-09-03 05:54:47+00:00,Upward
Sobha Ltd,SOBHA,Buy,1712.0,1648.0,1840.0,5-10 Days,0.0,2024-09-02 05:56:27+00:00,Upward
BANKNIFTY,BANKNIFTY04SEP2451100CE,Buy,468.0,415.0,620.0,INTRADAY,0.0,2024-08-29 06:48:42+00:00,Upward
Dalmia Bharat Ltd,DALBHARAT24SEP1840CE,Buy,60.0,49.0,82.0,1-2 Days,0.0,2024-08-29 05:03:57+00:00,Upward
Selan Explorations Technology Ltd,SELAN,Buy,990.0,792.0,,6 Months,0.06000000000000001,2024-08-29 04:55:44+00:00,Upward
