Stock Name,Symbol,Recommendation,CMP,Stop Loss,Target,Duration,Sentiment,Stock Movement
Schaeffler India Ltd,SCHAEFFLER,Buy,3980.0,3750.0,4380.0,5-10 Days,0.0,Upward
BANKNIFTY,BANKNIFTY24SEP54100PE,Buy,260.0,180.0,370.0,INTRADAY,0.0,Upward
Amber Enterprises India Limited,AMBER,Buy,5190.0,4152.0,,1 Year,-0.23174603174603176,Downward
Navin Fluorine International Ltd,NAVINFLUOR,Buy,3340.0,3180.0,3700.0,5-10 Days,0.0,Upward
NIFTY,NIFTY24SEP25800CE,Buy,182.0,160.0,250.0,INTRADAY,0.0,Upward
HEG Limited,HEG,Buy,2290.0,1832.0,,3 Months,0.2142857142857143,Upward
Uno Minda Ltd,UNOMINDA,Buy,1085.0,1040.0,1180.0,5-10 Days,0.0,Upward
NIFTY,NIFTY24SEP25500PE,Buy,136.0,115.0,185.0,INTRADAY,0.0,Upward
Reliance Infrastructure Ltd,RELINFRA,Buy,268.0,252.0,318.0,5-10 Days,0.0,Upward
NIFTY,NIFTY2491925300CE,Buy,172.0,145.0,250.0,INTRADAY,0.0,Upward
Action Construction Equipment Ltd,ACE,Buy,1380.0,1300.0,1520.0,5-10 Days,0.1,Upward
Interglobe Aviation Ltd,INDIGO24SEP4900PE,Buy,55.0,38.0,94.0,1-2 Days,0.0,Upward
Maruti Suzuki India Ltd,MARUTI24SEP12200PE,Buy,150.0,95.0,240.0,1-2 Days,0.0,Upward
BSE Limited,BSE,Buy,3500.0,2800.0,,1 Year,-0.23174603174603176,Downward
Hindustan Aeronautics Ltd,HAL24SEP4600PE,Buy,85.0,71.0,114.0,1-2 Days,0.0,Upward
Marksans Pharma Ltd,MARKSANS,Buy,284.0,270.0,308.0,5-10 Days,0.0,Upward
NIFTY,NIFTY2491925300CE,Buy,171.0,130.0,250.0,INTRADAY,0.0,Upward
FINNIFTY,FINNIFTY2491723800CE,Buy,185.0,165.0,230.0,INTRADAY,0.0,Upward
NIFTY,NIFTY2491925300CE,Buy,168.0,133.0,230.0,INTRADAY,0.0,Upward
Kaynes Technology India Ltd,KAYNES,Buy,5210.0,4168.0,,1 Year,-0.2851851851851852,Downward
Siemens Ltd,SIEMENS24SEP6700CE,Buy,125.0,102.0,168.0,1-2 Days,0.0,Upward
Sun Pharmaceuticals Industries Ltd,SUNPHARMA24SEP1840CE,Buy,24.0,18.0,34.0,1-2 Days,0.0,Upward
MIDCAPNIFTY,MIDCPNIFTY2491613150CE,Buy,119.0,105.0,145.0,INTRADAY,0.0,Upward
Prism Johnson Limited,PRSMJOHNSN,Buy,213.0,170.0,,1 Year,-0.23174603174603176,Downward
Honasa Consumer Ltd,HONASA,Buy,540.0,515.0,590.0,5-10 Days,0.0,Upward
Aether Industries Ltd,AETHER,Buy,1013.0,965.0,1100.0,5-10 Days,0.0,Upward
