Date,Polarity,Keyword_buy,Keyword_sell,Word_Count
2024-11-22,0.05491788280448074,4,4,0.050948752427909756
2024-11-23,0.375,0,0,0.03864734299516908
2024-11-24,0.2830909090909091,0,1,0.08985507246376812
2024-11-25,0.07180859157344306,9,8,0.05074855311618118
2024-11-26,0.07584224943981041,8,4,0.037469070342877345
2024-11-27,0.07443985071682914,10,5,0.03506759809543669
2024-11-28,0.05094348813098813,9,4,0.03685206946076511
2024-11-29,0.04284056895485467,13,7,0.03130434782608695
2024-11-30,0.29309090909090907,0,0,0.03961352657004831
2024-12-01,0.19321212121212122,0,0,0.049275362318840575
2024-12-02,0.03989024499726554,15,10,0.03150023161935014
2024-12-03,0.07607901312779361,14,10,0.03923647932131495
2024-12-04,0.030407370407370408,13,5,0.02242041372476155
2024-12-05,0.03418472407902556,9,7,0.040103722648479674
